,names,scores,logfoldchanges,pvals,pvals_adj,log_pval
510,Serpinb1b,0.48634577,0.58621866,0.6267220302759539,0.914964751165026,0.20292503889007055
511,Pax2,0.4828574,0.7200575,0.6291969967022615,0.916170200964892,0.2012133590283252
512,Il1rapl2,0.48127258,0.9451301,0.630322785744986,0.916608134767905,0.20043699313703855
513,Ccnb1,0.47577763,0.3299971,0.6342328127216968,0.9198859724984402,0.19775129303215103
514,Hmx2,0.471084,0.9216657,0.6375807484486822,0.9206332669795768,0.19546480480004105
515,Hpse,0.47055438,1.119705,0.6379589929355185,0.9206332669795768,0.19520723619135147
516,Fezf1,0.4705122,1.2767457,0.6379891175303352,0.9206332669795768,0.19518672917356045
517,Ptger3,0.470217,0.341385,0.6382000064300521,0.9206332669795768,0.19504319576686413
518,Ucma,0.4615978,0.33225828,0.6443697647766713,0.9253561863398286,0.19086484581134405
519,Rxfp3,0.4600219,0.8550751,0.6455004900210326,0.9253561863398286,0.19010342370995484
520,Zfp618,0.45533234,0.4490502,0.6488701564348711,0.9268187261071037,0.18784219994158088
521,Syt2,0.45516527,0.5039553,0.6489903435042459,0.9268187261071037,0.18776176513186563
522,Hoxc4,0.45396003,0.54211795,0.6498575946331537,0.9268187261071037,0.18718180126600695
523,Bmp3,0.4503735,0.76461035,0.6524411416661994,0.9270806852832394,0.1854586610050805
524,Slc26a4,0.45022994,0.9386204,0.6525446407664205,0.9270806852832394,0.18538977276306692
525,Npy2r,0.44544387,0.3387999,0.6559990143289284,0.9306026025074664,0.1830968131728595
526,Nr2f2,0.44447547,0.16894695,0.6566988662158899,0.9306026025074664,0.1826337335168946
527,2610028E06Rik,0.44021818,0.75720644,0.6597790850036371,0.9321756127797111,0.18060145570713093
528,Klhdc8a,0.43946308,0.2613771,0.6603260191337827,0.9321756127797111,0.18024158968201925
529,Slco1c1,0.43701288,-0.073056236,0.6621020134567519,0.9325727378230368,0.1790750914241842
530,Stk32a,0.43253094,0.12099455,0.6653555717451656,0.9345259673942843,0.1769462019494601
531,Pifo,0.41898456,0.6150344,0.6752274130676945,0.9471940099977382,0.1705499344180052
532,Col5a1,0.41676307,0.32673478,0.6768517220286103,0.9482752372935511,0.16950646182873993
533,Hoxb6,0.40652177,1.1348436,0.6843592633211301,0.9547979177012345,0.16471584986352938
534,Mc4r,0.40633604,0.6110866,0.6844957093013648,0.9547979177012345,0.1646292698566254
535,Trp73,0.40431973,0.23799628,0.6859776144397803,0.9550390095771879,0.1636900564272194
536,Fbln1,0.3846247,0.05208266,0.7005154953243947,0.9704148569892801,0.154582253726599
537,A830009L08Rik,0.37804374,0.59697807,0.7053981084055188,0.9747478836300141,0.15156570927038157
538,Dio3,0.3642005,0.8214106,0.7157082876028811,0.9853908854439476,0.1452639538083291
539,Ccdc192,0.36412993,0.6963022,0.7157609761955587,0.9853908854439476,0.14523198334881848
540,Spin2c,0.3599984,0.31237635,0.7188483367602256,0.9866323891017353,0.1433627277755864
541,Prkd1,0.35935846,0.087037295,0.7193269443496,0.9866323891017353,0.1430736717120235
542,Tacr1,0.35589278,0.3872195,0.7219208551229892,0.9868064635788142,0.14151041194201683
543,Casq2,0.35420498,0.33540002,0.7231852802860887,0.9868064635788142,0.14075042207304822
544,Arhgap15,0.35353747,0.6815625,0.7236855476972376,0.9868064635788142,0.14045010032960875
545,6530403H02Rik,0.35265258,0.9523455,0.7243489031137198,0.9868064635788142,0.140052193198448
546,Pkp2,0.34744233,0.21081023,0.7282590400057443,0.9891146619148923,0.13771411569412442
547,Slco5a1,0.3459897,0.4508243,0.7293504463175118,0.9893874796810203,0.13706374694756587
548,Lemd1,0.33211648,0.9670533,0.7398013059020048,0.9913070521719626,0.1308849064005463
549,Calcr,0.33200455,0.5273947,0.7398858201895293,0.9913070521719626,0.1308352957928623
550,Foxa1,0.3315544,1.0405881,0.740225746311377,0.9913070521719626,0.1306358134769207
551,Cftr,0.33133298,0.78056926,0.7403929718347928,0.9913070521719626,0.13053771243109225
552,Serinc2,0.33108482,0.14178286,0.7405804260150576,0.9913070521719626,0.13042777079857995
553,Ntn1,0.32759482,0.0029557382,0.7432180504039094,0.9936404981934337,0.12888375125389434
554,Adgrl2,0.32344216,0.04291401,0.7463604027276285,0.9947827095139826,0.12705140963275333
555,Nkx2-1,0.32156375,0.7058417,0.7477832163894599,0.9947827095139826,0.12622428658918436
556,Rxfp2,0.32121497,0.84305626,0.7480474777604769,0.9947827095139826,0.12607083706196756
557,P2ry1,0.32095867,0.18554491,0.7482416980145091,0.9947827095139826,0.12595809309985198
558,Inhbb,0.3182976,0.08354335,0.7502592117462621,0.9947827095139826,0.1247886635658751
559,Prlr,0.31356016,0.38292655,0.7538551130005686,0.9947827095139826,0.12271211523203036
560,Ccdc80,0.31289187,0.105297625,0.7543628249495997,0.9947827095139826,0.12241972180447423
561,Lnp1,0.31044245,0.87396276,0.7562245200392901,0.9947827095139826,0.12134924505716992
562,Chodl,0.3101959,0.6640456,0.7564120010791009,0.9947827095139826,0.12124158934433807
563,Gna14,0.30185977,0.3279362,0.7627589585513985,0.9947827095139826,0.11761268289684289
564,Mcub,0.30073646,0.48009136,0.7636154669344102,0.9947827095139826,0.11712528360964664
565,Tmem114,0.29997,1.1007286,0.7642000377247998,0.9947827095139826,0.11679294520862542
566,Chst9,0.2992733,0.92459434,0.7647315261123502,0.9947827095139826,0.11649100562065978
567,Evx1os,0.29926276,1.2310019,0.764739570443945,0.9947827095139826,0.1164864372325024
568,Chrdl1,0.29567298,0.39799696,0.7674798260330614,0.9947827095139826,0.11493303156109527
569,Cwh43,0.29084554,0.3966344,0.7711694513889354,0.9947827095139826,0.11285018262699525
570,Hoxb4,0.29011396,0.57531387,0.7717290525222084,0.9947827095139826,0.11253514998643217
571,D430036J16Rik,0.2888552,0.6429599,0.7726921917623566,0.9947827095139826,0.11199347638141835
