,names,scores,logfoldchanges,pvals,pvals_adj,log_pval,comparison
821,Gldn,0.5478361,0.6728208,0.5838044364860302,0.6935716492513211,0.2337326090155601,cc-out_vs_cc_in
822,Cftr,0.5476413,0.7271753,0.5839382435971048,0.6935716492513211,0.23363308076978367,cc-out_vs_cc_in
823,Col24a1,0.5470809,0.44529763,0.5843231896482777,0.6935716492513211,0.23334687778961544,cc-out_vs_cc_in
824,Foxb1,0.5417368,0.53706294,0.5879998475358091,0.6958320408248431,0.23062278653332643,cc-out_vs_cc_in
825,Lhx4,0.5416838,0.7878523,0.5880363605867338,0.6958320408248431,0.230595818968162,cc-out_vs_cc_in
826,Dmbx1,0.54092634,0.45428774,0.5885583646582402,0.6958320408248431,0.2302104636749651,cc-out_vs_cc_in
827,Lnp1,0.5406733,0.6495797,0.5887327798157989,0.6958320408248431,0.2300817826067387,cc-out_vs_cc_in
828,Igsf1,0.52816284,0.2800478,0.5973863148943959,0.7045615328160575,0.22374473056671446,cc-out_vs_cc_in
829,Nr5a1,0.5281618,1.3895993,0.5973870062220757,0.7045615328160575,0.22374422797799529,cc-out_vs_cc_in
830,Phox2b,0.5209871,0.4302061,0.6023757678458759,0.7096919173666681,0.2201325070970197,cc-out_vs_cc_in
831,Serpinb7,0.51450545,0.5910354,0.6068986628847682,0.7116596019853639,0.21688381934328888,cc-out_vs_cc_in
832,Atp6v1c2,0.5139193,0.62047637,0.6073084083594473,0.7116596019853639,0.21659070590389748,cc-out_vs_cc_in
833,4921534H16Rik,0.5130887,0.28476414,0.6078892549811974,0.7116596019853639,0.21617553311435164,cc-out_vs_cc_in
834,Eya4,0.509515,0.060130276,0.6103912905825952,0.7136199507085129,0.2143916717748412,cc-out_vs_cc_in
835,Abhd12b,0.5076861,0.7300419,0.6116735046308555,0.7136199507085129,0.2134803310794856,cc-out_vs_cc_in
836,Esr1,0.5076656,0.38231644,0.6116878978913733,0.7136199507085129,0.21347011183665693,cc-out_vs_cc_in
837,Chrna3,0.507031,0.4743008,0.6121330450271942,0.7136199507085129,0.2131541751722837,cc-out_vs_cc_in
838,Tfap2a,0.49811763,0.22690982,0.6184011462298941,0.7201715654731785,0.20872971410775115,cc-out_vs_cc_in
839,Arsj,0.4944662,0.6891171,0.6209769848692048,0.7220849385929304,0.20692449568417653,cc-out_vs_cc_in
840,Pdgfd,0.49386472,0.13496578,0.621401725897099,0.7220849385929304,0.20662754485873103,cc-out_vs_cc_in
