,AD,AMd,AMv,AV,CL,CM,IAD,IAM,IGL,IMD,LD,LGv,LH,LP,MD,MGd,MGm,MGv,MH,PCN,PF,PIL,PO,POL,PP,PR,PT,PVT,PoT,RE,RH,RT,SGN,SMT,SPA,SPFm,SPFp,VAL,VM,VPL,VPLpc,VPM,VPMpc,Xi
FRP,3.237528628190409e-05,0.00017371621740995324,0.0003072759348836386,4.696100062390994e-05,0.00028426374592014936,0.0003498906744608056,0.00016682536692827038,0.0001656253358678483,2.606530979616179e-06,0.0003430783816175474,1.7097710319430878e-05,1.3493303317317771e-06,6.0094283313817384e-05,2.4369861876201125e-05,0.0005315799970297999,1.9029627233252327e-06,9.80054958179461e-06,1.3497939352603111e-06,7.1839320341135176e-06,0.0005465369836128939,0.00036269155767792977,4.47175340362974e-05,0.00020094329454569863,5.643210436691046e-05,1.569321454606459e-05,0.0001815287710244046,0.00014999179666311363,8.891865218169623e-05,0.00013385721702317632,0.00010605089841562427,0.00036985657146109226,0.00022154027228971548,2.4888734906711434e-06,0.0005601218925010104,0.0002032367071036867,9.068631768246855e-05,0.00020841160979100128,0.00048828098715831885,0.0005098240765935984,2.4724646753978293e-05,8.308883841503805e-05,4.053721009302724e-05,0.0002947982740315898,0.000119706194714745
GU,5.970124190227614e-06,1.2303871114237965e-05,1.9761473262115755e-05,8.237744791052724e-07,2.9938830995507514e-05,0.00018405544464914191,1.5715936251944632e-05,2.3636286915206087e-05,4.565731106952866e-07,0.00038683163064934955,9.713260638298997e-07,3.9385194077619764e-07,9.779626866900886e-06,4.126639227852904e-06,0.00018929712343225143,1.4226609267593063e-05,5.0444217215494215e-05,2.1772406073518775e-05,1.2459385620971489e-06,0.00033005175801936303,0.0002667084705862631,7.292706415132286e-05,0.0002529964507767027,2.917446026941113e-05,2.4543047262819454e-05,5.332883156452601e-05,2.543958845213849e-05,7.502044938355346e-05,0.00015075456034696313,3.3316364808615944e-05,9.877031907289478e-05,9.094844826814015e-05,7.187012273927797e-06,8.924975034085148e-05,8.964440050564986e-05,3.181766359223009e-05,0.00014804654240558143,0.00012190854883582145,0.00012875829028660845,0.00012311339057890036,0.0015148650603344508,0.0003382744754600478,0.0010661952284878675,4.491501248543981e-05
ILA,0.00024336028675898911,0.0006591251872601975,0.0009108150776922618,0.00015775307205166743,0.0002738083104997889,0.000455718543539692,0.0006050240428155935,0.0007720132960083962,9.727965019167746e-05,0.0005609380358173349,8.952326402411486e-05,3.8871390173202836e-05,0.00028958996168001566,9.095874853211554e-05,0.0007363171967128526,6.1429692284873955e-06,1.5498532950088178e-05,5.724631327414662e-06,7.792725417446053e-05,0.0001545745665388863,0.00018291937965632558,7.42988245744984e-05,5.2664078678336784e-05,5.0447947963451206e-05,4.9686842907471874e-05,0.0011485596009144382,0.0009604098902918271,0.0007251288956753877,3.9642526387860334e-05,0.0008157482817369961,0.0007987640092300661,0.00030059448013884795,5.828523622976881e-06,0.0011524373727034326,0.0006673345008323473,0.0006629996156342177,0.00021204092149544425,0.00023972941787153771,0.00046503936923774866,2.8084992259316583e-05,9.562809346998268e-05,7.980653133922488e-06,0.00021343318865822857,0.0008458363984199508
MOp,2.4403529175938163e-05,9.696736997693506e-05,0.00011885544339934804,8.789690958201125e-05,0.0002534375717327296,0.00012645946992891763,7.958911031540624e-05,5.208649686961452e-05,1.4692250668716548e-05,8.121356834769814e-05,0.00011156890245574104,1.786946373100698e-05,1.5601799232965815e-05,6.956175128276e-05,0.00013261610564952708,3.6998020483949456e-06,5.7703189735853845e-05,9.141507880693116e-06,6.053567915281404e-07,0.0004957413586465665,0.00042143286671912026,8.691903648687816e-05,0.0005566550525892472,0.00015616855943699783,1.9176305020577786e-05,4.6075307633058616e-05,9.884040862131108e-06,8.241520300234713e-06,0.0002207159885463144,3.0221546841172653e-05,0.00010139263356852531,0.00021466784416137037,1.6917368154106126e-05,0.00011026738509811803,4.2278657959862535e-05,5.9358905073211306e-05,0.00038166274272983305,0.0005037315729461814,0.00024534968924067393,0.0003415385582992334,0.00028970969060546423,0.00037775731118775357,0.00029017736370758165,3.3205130552444355e-05
MOs,8.04955328247332e-05,0.0003566111957715867,0.00048041094733145803,0.00027758581004417866,0.0005119929894871006,0.00022122919072633135,0.0003113714215223617,0.00020620400034537865,2.703190989712778e-05,0.0001383393678291305,0.00026189210319221324,3.7784953771383625e-05,5.770813757439175e-05,0.00016601830955497061,0.0003463375603590503,4.3654273314159956e-06,6.634417352055127e-05,9.367003160501737e-06,3.375626600173801e-06,0.0004736521290212286,0.00044840233754221947,8.588623902110755e-05,0.0003574629331874177,0.00016787872447683578,3.605601255994314e-05,0.00017825934490203302,5.931541474068909e-05,3.378590679886721e-05,0.00022158642227250265,0.00011886200913360246,0.0002629179151060338,0.0003035638533780636,2.5567926425892585e-05,0.00034530672350909295,0.00013417050440433798,0.00017415843464591588,0.0004366254370122318,0.0006229528539451844,0.0005112992468291266,0.00017504124987668642,0.0002246579095180041,0.0001409450637650651,0.00024807602391208316,0.00013949871567923798
ORBl,6.076646279842218e-05,0.0003338835547790579,0.0005803713618711681,6.571473376888199e-05,0.0002897289063155111,0.0004298499947726835,0.00028334788389125504,0.0003091017323021465,1.614858447788066e-05,0.0004188516570811113,3.0016680539144815e-05,6.2163449522895215e-06,0.00010070505761897592,3.990554580723363e-05,0.0007143989359370268,2.833772629485585e-06,8.273969151004232e-06,2.0687485697648564e-06,1.1258705653084823e-05,0.0005038146640695885,0.000297148304574423,4.510764724575665e-05,0.0001918290688140814,3.9741113536712466e-05,1.7486017065753448e-05,0.0003696329248683481,0.00023179577527793606,0.00012999193770915456,8.45116276823086e-05,0.00020446306725262163,0.000591440869527849,0.0003062763501606371,2.9416676104923093e-06,0.00115455472607341,0.00022035061231228734,0.00017636383529555342,0.0001725273577546972,0.0004844260665709138,0.0006059118692177512,2.7261820701670383e-05,8.487443505823812e-05,4.624189467356106e-05,0.0002732175979808837,0.00019143397328023358
ORBm,0.00011361060769893488,0.0004024410984592382,0.0006172044247816741,9.197992826986059e-05,0.00022373648274498528,0.0003829921858259976,0.00036990473477208085,0.0005073270537525829,2.9580984606940974e-05,0.0005012749524526534,3.808439138771653e-05,1.1520217550323674e-05,0.0001652279965865646,4.6667793552079976e-05,0.0006457873703279318,4.354944778936883e-06,7.754068457161271e-06,3.538847455115143e-06,3.243610923680393e-05,0.00019987215384817723,0.00017677852032455647,4.3249711673115315e-05,6.595368241934426e-05,2.9761272074995473e-05,2.2734253734655692e-05,0.0006139967569530138,0.0005904943640661695,0.0003986188350421938,3.6040689198048716e-05,0.00039779076925549293,0.0006241228540374815,0.00024011531862666878,3.1474301008412368e-06,0.0009953841646764942,0.00042284013664649193,0.00028279278427814305,0.00012794757726486105,0.000257703868473118,0.0004015007398889475,1.7706828926584386e-05,5.793660597130996e-05,9.006313978805408e-06,0.00016798138829141428,0.0004403186021530048
ORBvl,0.00010904954974969152,0.00047361464791786185,0.0007887235516393832,0.00010489580891215412,0.00032805254111448656,0.0004326983692640734,0.0004078093352698563,0.0004461192368205436,2.6454765411997507e-05,0.00047568706350651865,4.3392232922731775e-05,1.0229573466373248e-05,0.00015956300606674142,5.721449149919076e-05,0.000803697465562595,3.6923441696267297e-06,9.825596122482806e-06,3.0772741201355815e-06,2.2472055258962483e-05,0.00038051785125146155,0.00025602993517709344,5.180965290149058e-05,0.0001411557560117794,4.084672632521215e-05,2.4915396288610056e-05,0.0005923907210704337,0.000455004598250152,0.000258529886420523,6.606260684642042e-05,0.0003215517714746102,0.0006618606175060001,0.00035030359468995976,3.9872518660174375e-06,0.0013017280335822334,0.0003167950030309459,0.0002488351490875136,0.00017280457547480698,0.0004498784768293946,0.0006168008937890527,2.618006634240943e-05,7.391072548982073e-05,2.18429976227627e-05,0.00022836789000942227,0.00032185810580350756
PERI,2.9574157257208305e-05,1.3907203798691208e-05,2.1506116483926787e-05,5.849652942371983e-06,4.8259228723575744e-05,3.4575440170865116e-05,1.4457816408488166e-05,1.6904244591008623e-05,0.00017052629118653213,5.136170327537977e-05,5.889739770559833e-05,0.000157034694317143,1.968069498062033e-05,0.00032231930325212036,2.7156604131940216e-05,0.0008524380973866162,0.0002898178765662055,0.0006580670085060903,2.7613511540430792e-06,3.09923108649293e-05,5.839807692691227e-05,0.00046276722996150887,0.00010197870267684545,0.00012466695186511679,0.0004803816262550941,8.53455709050747e-05,2.43162570883607e-05,4.62138490341999e-05,0.00017388006119402972,5.3064450651562446e-05,4.7664041272760996e-05,5.885648734649201e-05,0.0005442155132618782,5.561484647848325e-05,0.0001041419567904815,0.00011032981238811272,0.0001543785688976075,1.2505374507300884e-05,3.7184305905798544e-05,4.253457427478322e-05,0.0001274941496847486,3.2860937062306975e-05,0.0001813573101898164,6.0110691079754416e-05
PL,0.00014035011626392345,0.0005023054676638692,0.0007386249031285804,0.00017649851132683588,0.0004055531892048715,0.00035116225755197624,0.00047810660449555713,0.0005241484947235821,3.49317099190834e-05,0.0004245739657057959,0.000102470539120146,2.2165403184370214e-05,0.00017011011142726662,9.760661809258238e-05,0.000616022519648242,4.245515565792187e-06,2.6752100594108642e-05,4.7430664816870016e-06,3.163580563971266e-05,0.00024544128218768207,0.0002642389377926961,6.652325955482516e-05,0.0001118468874168476,8.116281533206642e-05,3.297912824210898e-05,0.0006158857721141369,0.0005214077535715684,0.00038035666019013817,9.41997122115922e-05,0.00041676928284539266,0.0005391576761658907,0.0002822997405001954,9.993748338973294e-06,0.0007405501032078514,0.0004251034770373563,0.00033290463083998905,0.00026870894579268586,0.0003886070757157788,0.0005080545740512103,4.696190217579406e-05,0.00012478901534432004,2.1265979298369302e-05,0.0002006435248539601,0.0004758597060600687
RSPagl,0.00030420963027436276,0.0003244706834744063,0.0003063826111059626,0.000492900838473579,0.00023428050914811534,1.687645404834898e-05,0.00017819854847814129,0.00010343932047160154,0.000734927311189578,2.910654347253231e-06,0.001537490793514754,0.0007624475451853513,3.0193932154227424e-05,0.0009628346212674947,2.2381990544156005e-05,6.161023649379688e-05,0.000151460548527581,8.552135406238053e-05,2.7134415943786195e-06,1.1771604699113356e-05,0.0001292375543791123,0.00010603216055838907,0.00012971596388829373,0.00036394362987811406,0.00013130158529069558,9.779495542811021e-05,1.8855357147380292e-05,4.837325746637561e-06,0.00021415723687155577,5.222618778355575e-05,8.600029416305625e-05,0.0003568340659133982,0.00012530410071161187,7.134296923241943e-05,3.819657486111845e-05,0.00013053193038451425,0.00027610158390682616,0.00017088973614141407,0.00010481600778122439,0.0002769700796183823,0.00012610381616585478,4.287809353641903e-05,3.880899811256477e-05,3.366947394714258e-05
RSPd,0.00044360783105007034,0.0003890197405580439,0.00031313115081481416,0.0007462540113937189,0.0002049525263503637,1.8277680826111103e-05,0.00021232262077449385,0.0001303394664334072,0.0006154429861779226,2.9735610394673335e-06,0.0017010491448905104,0.0006508719192882705,3.4246773221410325e-05,0.0008595824388420591,1.960168406548185e-05,5.073991537276448e-05,0.0001491825037418724,7.434489960298562e-05,3.084875088212864e-06,8.310959325364081e-06,0.00012692912532410194,9.240122700588607e-05,0.00010880559082077077,0.00032359896981844905,0.00011519534686010754,9.766073996430013e-05,1.937108618606965e-05,5.20360369087312e-06,0.00020812833809258222,4.989727154719383e-05,7.632717847003534e-05,0.0003503044419498543,0.00010800224921689654,5.459662351604588e-05,4.320912181455938e-05,0.00015114081431195824,0.0002966395258890227,0.0001398513894047715,0.00011310741475703774,0.0002381832415986244,0.00015164263854660736,3.4091525683710784e-05,4.502984213569305e-05,3.6101633335637155e-05
RSPv,0.00048047410580479135,0.0003991906664662062,0.0002963183989494643,0.0008296135822745566,0.00016843233543028594,2.3657117830281106e-05,0.00022795979124024332,0.00017076136029548132,0.0004317632530050499,3.85788244008837e-06,0.0014882656076373086,0.00044859240749833503,4.3144263530576036e-05,0.0006362974134599563,1.8077300351704526e-05,3.615399301026503e-05,0.00011897128989775363,5.362922393382967e-05,4.897402432822969e-06,6.282289833610551e-06,0.00011162049090682254,7.75000266715333e-05,7.942786584735243e-05,0.000230942621904866,9.83949135443598e-05,0.00010665974166862965,2.5992892814091624e-05,8.470317681203753e-06,0.0001635973543878822,6.131744590217277e-05,8.161103051309882e-05,0.0002892654005220079,7.733474342843523e-05,4.450062501770001e-05,6.1012805257349324e-05,0.00018586256604443142,0.0002548404543903877,0.00010729682784671116,0.00010577062004323548,0.0001781914715018831,0.00014112391166860259,2.4054661360612434e-05,4.6683582097735194e-05,5.127419149247118e-05
SSp-bfd,7.419784222891447e-06,1.5013717693216422e-05,2.3969331832018905e-05,2.7186936216549927e-05,0.00013820746256484605,1.4971900414688445e-05,2.1166137213635772e-05,1.3230266619492909e-05,0.00021572025592077315,4.851195427387277e-06,0.00017435086456009104,0.00017780687888645485,4.083818913457355e-06,0.0002535157301634052,1.5488683188019284e-05,0.0001598014960285286,0.00034088510614039083,0.00024461022299905437,4.872514024424499e-07,5.104719497627956e-05,0.00024474291050952807,0.00033801799023316497,0.00042756935724909645,0.00041799014239901866,0.0003288391504934498,1.4444290393640593e-05,7.558128933187467e-07,1.9333329311171018e-06,0.000524429006326553,1.8602061430418687e-05,6.408759252255379e-05,0.00023028436766619497,0.00023446034518835498,9.9187106273481e-05,1.0777580406747075e-05,3.5890359691406756e-05,0.00056124990026302,0.00019564826488928779,0.00010036751312058022,0.0004323757394474505,0.00020287465563395755,0.0004300158689438192,0.00010912403194993943,1.3106140972502629e-05
SSp-ll,2.5890491788540932e-05,4.852877216405367e-05,6.672629119413089e-05,6.2438869453803e-05,0.0002279060811590599,1.2743381051926944e-05,5.037761624021236e-05,3.025828991814343e-05,7.450436067054964e-05,3.387167372835476e-06,0.00021018484175174383,6.473464310191502e-05,9.671604565927076e-06,0.0001808414652182215,2.988271272121042e-05,1.7480897139422364e-05,0.0001658104832846264,4.754221455896807e-05,4.17639004352419e-07,5.1493563387107396e-05,0.00026469206558848074,0.000144334529236342,0.0003463561189491016,0.0003590296461612498,6.055996742298566e-05,3.053669188019624e-05,1.4629034299307379e-06,1.2454117708074681e-06,0.0003188914566828454,2.3986468323403804e-05,5.058160005419515e-05,0.0002495583398097138,6.932841680184567e-05,7.051877629962852e-05,1.5630614015303704e-05,5.4618759041908074e-05,0.0005560534007577236,0.0002468082410130255,0.00015188886270650707,0.0006270778220108923,0.00015461914877232697,0.00014858986412036012,4.995324651515054e-05,2.1627463306104935e-05
